,timestamp,programme,ML,IR,stat,DB,gender,chocolate,neighbours,stand,money,random,good(1),good(2),y_birth,m_birth,d_birth,h_bed,m_bed
34,4/5/2018 11:27:18,unknown,0,0,1,0,male,neither,7,0,-1,-1,Good food,No alarm,1995,5,21,-1,-1
35,4/5/2018 11:27:18,CS,1,1,1,1,male,neither,1,0,1,9,Sun,Freedom,1992,11,9,1,0
36,4/5/2018 11:27:18,BA,1,1,1,1,male,fat,0,0,0,1,Good food ,Good sex ,1995,4,12,1,0
37,4/5/2018 11:27:18,AI,0,1,1,1,female,fat,5,0,100,2,good food,enough sleep,1995,10,1,1,0
38,4/5/2018 11:27:18,AI,1,1,1,1,male,ignorant,6,0,3,-1,No homework,A blunt,-1,-1,-1,1,0
39,4/5/2018 11:27:19,AI,1,1,1,0,female,neither,-1,0,5,2,Good weather,No school ,-1,8,20,1,15
40,4/5/2018 11:27:19,AI,1,0,1,0,male,ignorant,1,0,0,2,Snow,Storm,-1,5,12,-1,-1
41,4/5/2018 11:27:20,AI,1,1,1,1,male,ignorant,-1,0,99,9,Fun,Relaxation,1993,6,13,1,0
42,4/5/2018 11:27:21,AI,1,1,1,0,male,ignorant,2,0,6,5,Jezus man,Te diep,1996,1,29,2,0
43,4/5/2018 11:27:21,CS,1,0,1,1,unknown,fat,2,0,1,9,Energy,Smiles,-1,10,12,22,0
44,4/5/2018 11:27:21,AI,1,0,1,0,male,neither,5,0,10,-1,Food,Sports,1994,5,15,0,0
45,4/5/2018 11:27:21,BA,1,1,1,1,male,ignorant,-1,0,7,5,beer,sex,1994,12,27,23,0
46,4/5/2018 11:27:22,BA,1,1,1,1,male,fat,-1,0,0,4,Beer,Good food,1995,10,8,23,55
47,4/5/2018 11:27:23,BA,1,1,1,1,female,fat,1,0,50,8,Sun,Free time,1995,5,25,23,0
48,4/5/2018 11:27:23,CS,1,0,1,0,female,fat,0,0,100,-1,cats,coffee,1996,1,16,0,0
49,4/5/2018 11:27:25,BA,1,1,1,1,male,fat,7,0,100,-1,Sex,Gaming,1994,10,16,23,15
50,4/5/2018 11:27:25,Exchange,1,1,1,1,male,fat,8,0,1,7,Weather,Beer,-1,4,28,0,0
51,4/5/2018 11:27:26,BA,1,1,1,1,male,neither,4,0,42,7,Laughing,Sun shining,1994,12,13,0,0
52,4/5/2018 11:27:26,EOR,0,0,1,0,female,fat,7,0,0,4,Sun,Sea,-1,4,4,11,50
53,4/5/2018 11:27:27,CS,0,0,1,1,male,neither,-1,0,1,6,People miding their own business,Nice weather,1996,7,15,1,0
54,4/5/2018 11:27:27,AI,1,0,1,1,male,ignorant,-1,0,0,9,Coffee,Pizza,1995,1,30,0,0
55,4/5/2018 11:27:27,EOR,0,0,1,0,male,neither,4,0,100,3,Sun ,Food,1995,8,22,23,30
56,4/5/2018 11:27:27,Duisenberg Honor Programme,0,0,1,0,male,fat,1,0,25,7,No assigments,Freedom,1992,10,17,0,30
57,4/5/2018 11:27:27,BA,1,1,1,1,male,slim,8,0,0,8,Music,Food,-1,11,28,1,0
58,4/5/2018 11:27:28,QRM,0,0,1,0,male,neither,2,0,0,6,Saturday,Sunday,1994,3,17,0,15
59,4/5/2018 11:27:28,BA,1,1,1,1,female,fat,6,0,25,8,Chocolate,Sun,1994,4,30,23,15
60,4/5/2018 11:27:28,unknown,1,1,1,1,male,neither,-1,0,25,7,-,-,-1,1,16,23,0
61,4/5/2018 11:27:28,CLS,1,0,1,1,female,fat,3,0,0,1,Enough sleep,Exercise,-1,1,20,1,0
62,4/5/2018 11:27:29,CS,1,1,0,1,unknown,fat,2,1,90,8,Wake up time,Chocolate,1995,11,20,0,0
63,4/5/2018 11:27:30,BA,1,1,1,1,male,fat,7,0,1,8,Coffee,Wake-up time,1996,9,3,23,5
64,4/5/2018 11:27:30,AI,0,1,1,1,male,ignorant,2,0,25,-1,Sunny day,No school,-1,-1,-1,0,0
65,4/5/2018 11:27:30,CS,0,0,1,0,male,fat,3,0,2,2,Freedom,Money,1991,11,22,2,0
66,4/5/2018 11:27:31,AI,1,1,1,1,male,fat,-1,0,101,-1,Not coming to VU,Sushi,-1,1,23,1,0
67,4/5/2018 11:27:31,CS,1,1,1,1,male,unknown,2,0,0,1,Work,Food,1994,12,9,2,0
68,4/5/2018 11:27:31,AI,1,0,1,1,female,ignorant,2,0,1,7,nice weather,coffee,1995,10,9,0,0
69,4/5/2018 11:27:32,CS,0,0,1,0,male,ignorant,5,0,1,0,Fox news,sleep,-1,12,21,-1,-1
70,4/5/2018 11:27:32,AI,0,1,1,-1,female,ignorant,1,0,1,7,sunny weather,pizza,-1,1,28,23,3
71,4/5/2018 11:27:32,CLS,0,-1,0,0,female,fat,7,0,0,3,Sun,Not studying,-1,2,7,0,0
72,4/5/2018 11:27:32,AI,0,0,0,1,male,ignorant,4,0,100,5,Fun fun fun,A good day,1991,12,30,23,59
73,4/5/2018 11:27:32,CLS,0,0,1,1,female,slim,7,0,10,7,No rain,Food,1995,5,8,1,30
74,4/5/2018 11:27:32,BA,1,0,1,1,female,fat,6,0,2,7,nice food,a lot of fun ,1992,9,27,22,10
75,4/5/2018 11:27:32,CLS,0,0,1,0,female,slim,1,0,-1,1,Kind people around me ,Coffee,1993,8,8,-1,-1
76,4/5/2018 11:27:32,AI,0,0,0,0,female,neither,1,0,10,9,sunshine,good coffee ,1995,10,3,1,0
77,4/5/2018 11:27:33,AI,0,0,1,1,male,ignorant,4,0,5,7,Bunnies,Good weather,1990,2,9,1,15
78,4/5/2018 11:27:33,AI,0,0,1,1,female,ignorant,1,0,0,8,Laughs,No stress,-1,11,11,23,15
79,4/5/2018 11:27:33,CS,0,1,1,0,male,fat,1,0,100,8,Sun,Lunch,1994,8,31,12,0
80,4/5/2018 11:27:33,MS,-1,0,1,0,male,neither,8,0,50,3,A productive day,A day with company,1988,5,2,23,58
81,4/5/2018 11:27:34,BA,1,1,1,1,male,neither,7,0,0,4,Food,Good grades,-1,4,19,0,0
82,4/5/2018 11:27:34,CS,0,0,0,1,female,fat,7,0,1,-1,sunshine,beer,1987,5,10,1,30
83,4/5/2018 11:27:34,Human Movement Science,0,0,1,0,female,ignorant,1,0,0,8,Coffee,Sunshine,1992,5,28,0,30
84,4/5/2018 11:27:35,BA,1,0,1,0,male,fat,1,0,1,3,Sun,Good food,-1,7,29,0,0
85,4/5/2018 11:27:35,BA,1,1,1,1,male,ignorant,1,0,100,4,Sex,No worries,-1,3,27,4,0
86,4/5/2018 11:27:35,Finance,0,0,1,1,male,fat,5,0,1,5,Some food,Netflix,1994,3,4,1,0
87,4/5/2018 11:27:35,BA,1,1,1,1,male,fat,6,0,0,9,Food,Sleep,1994,7,5,-1,-1
88,4/5/2018 11:27:35,QRM,0,0,1,0,male,fat,5,0,5,7,Nice weather,Winning the lotery,-1,6,28,0,30
89,4/5/2018 11:27:35,AI,1,1,1,1,female,neither,-1,0,0,5,Food,Sleep,1995,6,27,1,0
90,4/5/2018 11:27:35,PhD student,1,0,1,1,male,fat,2,0,0,3,Sex,Video games,1990,2,9,23,0
91,4/5/2018 11:27:35,CS,1,0,0,1,female,neither,-1,0,20,1,Sun,Free time,1994,12,25,0,0
92,4/5/2018 11:27:36,PhD student,0,0,1,0,female,fat,0,0,1,6,sleeping well,sunshine,-1,3,30,-1,-1
93,4/5/2018 11:27:36,CS,1,1,1,1,female,neither,-1,0,0,1,chocolate,nice weather,1993,11,21,23,30
94,4/5/2018 11:27:36,CS,1,0,1,0,female,fat,2,0,0,8,Receiving food,Sun,1994,12,4,0,0
95,4/5/2018 11:27:36,BA,1,1,1,1,male,slim,7,0,85,3,Sex,Good sleep,1992,8,24,0,30
96,4/5/2018 11:27:36,CS,0,0,1,1,male,slim,6,0,100,2,Plenty food,Plenty sleep,-1,7,11,22,0
97,4/5/2018 11:27:37,CS,0,0,1,1,male,slim,-1,0,100,5,Music,Challenge ,1990,5,2,0,0
98,4/5/2018 11:27:37,CS,1,1,1,1,male,ignorant,1,0,100,7,Mac Donalds,A good sleep,1994,9,9,23,30
99,4/5/2018 11:27:37,CS,1,0,1,1,male,neither,-1,0,100,7,Achieving something,Learning something,-1,9,18,0,0
100,4/5/2018 11:27:38,BA,1,1,1,1,male,ignorant,1,0,10,2,Sun,Sleep,-1,8,17,23,0
101,4/5/2018 11:27:38,CS,0,0,1,0,female,ignorant,4,0,1,1,coffee,laughter,-1,2,2,0,0
102,4/5/2018 11:27:38,CS,0,0,1,1,male,fat,5,1,10,9,The Sun,No stress,-1,6,19,2,0
103,4/5/2018 11:27:38,AI,1,0,1,0,female,ignorant,3,0,1,8,Sunshine,Coffee,1993,12,22,22,45
104,4/5/2018 11:27:38,CS,1,1,1,1,male,fat,-1,0,40,8,Good food,A good nice sleep,1993,11,6,23,0
105,4/5/2018 11:27:38,CLS,1,1,1,0,male,neither,6,0,20,7,Coffee,Finishing some work,1994,5,17,1,30
106,4/5/2018 11:27:38,AI,1,1,1,0,male,neither,5,0,0,8,"Sun, music, friends, beer",Coffee,1993,10,15,0,0
107,4/5/2018 11:27:39,CS,1,0,0,0,female,slim,2,0,5,-1,Good sleep,Nice food,1995,2,20,0,0
108,4/5/2018 11:27:39,AI,0,0,1,0,male,neither,6,0,-1,7,Saturday,Sunday,1992,3,17,0,0
109,4/5/2018 11:27:39,CS,0,0,1,1,male,neither,1,0,-1,-1,Good fuckin breakfast,Completing my task,1992,10,14,1,48
110,4/5/2018 11:27:40,AI,0,1,1,1,female,neither,1,0,1,9,Sunny weather,no work appointments,1991,4,12,0,0
111,4/5/2018 11:27:40,CS,1,0,1,0,male,fat,4,0,0,2,Good weather,No lectures,1996,10,9,2,0
112,4/5/2018 11:27:40,CS,0,0,1,0,male,fat,4,0,0,8,Chocolate,Flying,1993,9,19,0,0
113,4/5/2018 11:27:41,AI,1,1,1,1,female,ignorant,6,0,50,9,If the sun shines,If I got up with the correct leg,-1,9,9,0,0
114,4/5/2018 11:27:42,CLS,1,1,1,1,male,slim,6,-1,-1,3,Sun,Friends,1994,1,26,0,45
115,4/5/2018 11:27:42,CS,1,0,1,0,female,fat,1,0,75,9,Sun,Good food,1995,11,24,1,0
116,4/5/2018 11:27:42,AI,0,0,1,0,male,neither,4,0,27,8,Relief,Future plans being solid,1994,3,9,2,0
117,4/5/2018 11:27:42,AI,1,1,1,1,male,ignorant,3,1,100,6,Sex,Drugs,-1,9,11,1,0
